Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
General CIF Imports Value,01012100,Live purebred breeding horses,2022,Value for: number,16912494.00,6945234.00,3608314.00,2266685.00,3476562.00,4843027.00,8123896.00,5495786.00,8101893.00,36165573.00,7104741.00,6311490.00
General CIF Imports Value,01012900,Live horses other than purebred breeding horses,2022,Value for: number,93713572.00,64240216.00,37429053.00,42507450.00,34068536.00,43468589.00,42355294.00,45283044.00,58721665.00,61369281.00,81554195.00,83641633.00
General CIF Imports Value,01013000,Live asses,2022,Value for: number,239914.00,25854.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01019040,Mules and hinnies not imported for immediate slaughter,2022,Value for: number,7870.00,0.00,4020.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01022100,Live purebred breeding cattle,2022,Value for: number,875243.00,988776.00,1211465.00,1296762.00,1084361.00,1337044.00,1145131.00,835878.00,945104.00,843888.00,1189702.00,1429519.00
General CIF Imports Value,01022920,Cows imported specially for dairy purposes,2022,Value for: number,1236551.00,1052063.00,400140.00,528000.00,506718.00,548000.00,792446.00,504700.00,290273.00,144200.00,202300.00,573056.00
General CIF Imports Value,01022940,Live cattle other than purebred or those imported for dairy purposes,2022,Value for: number,128969055.00,151036823.00,190415679.00,137443990.00,140894729.00,134820321.00,105435181.00,123035341.00,110649888.00,128641652.00,177830468.00,177832958.00
General CIF Imports Value,01023100,Live purebred breeding buffalo,2022,Value for: number,0.00,0.00,0.00,13350.00,49950.00,16100.00,0.00,0.00,6100.00,0.00,0.00,0.00
General CIF Imports Value,01023900,"Live buffalo, other than purebred breeding animals",2022,Value for: number,7048955.00,5396293.00,7357359.00,6012408.00,5911313.00,6866804.00,5484396.00,5948661.00,4718144.00,5313345.00,5946292.00,4614132.00
General CIF Imports Value,01029000,"Live bovine animals, other than cattle and buffalo",2022,Value for: number,0.00,22638.00,0.00,46150.00,0.00,37600.00,59800.00,0.00,0.00,0.00,0.00,2999.00
General CIF Imports Value,01031000,Live purebred breeding swine,2022,Value for: number,0.00,72092.00,0.00,0.00,0.00,48592.00,0.00,0.00,0.00,155235.00,0.00,2746.00
General CIF Imports Value,01039100,"Live swine, other than purebred breeding swine, weighing less than 50 kg each",2022,Value for: number,20778043.00,22477136.00,25873002.00,22309777.00,18562590.00,18114646.00,15774159.00,18185877.00,18068816.00,14541109.00,17926504.00,18992869.00
General CIF Imports Value,01039200,"Live swine, other than purebred breeding swine, weighing 50 kg or more",2022,Value for: number,19112564.00,21863890.00,36667985.00,33138076.00,32082495.00,29180095.00,28062366.00,34681444.00,28678479.00,29349544.00,27292610.00,22070153.00
General CIF Imports Value,01041000,Live sheep,2022,Value for: number,242865.00,221899.00,231465.00,125658.00,146359.00,172052.00,76159.00,115725.00,224803.00,100546.00,123503.00,111221.00
