Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December,January_Suppressed,February_Suppressed,March_Suppressed,April_Suppressed,May_Suppressed,June_Suppressed,July_Suppressed,August_Suppressed,September_Suppressed,October_Suppressed,November_Suppressed,December_Suppressed
General First Unit of Quantity,01012100,Live purebred breeding horses,2023,number,200.00,111.00,131.00,150.00,157.00,118.00,154.00,116.00,166.00,395.00,171.00,295.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01012900,Live horses other than purebred breeding horses,2023,number,1765.00,1617.00,1775.00,1483.00,1706.00,1457.00,1442.00,1612.00,1806.00,2271.00,2134.00,1963.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01013000,Live asses,2023,number,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01019040,Mules and hinnies not imported for immediate slaughter,2023,number,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,164.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01022100,Live purebred breeding cattle,2023,number,1228.00,861.00,727.00,564.00,319.00,560.00,528.00,759.00,592.00,800.00,944.00,896.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01022920,Cows imported specially for dairy purposes,2023,number,565.00,240.00,191.00,239.00,62.00,80.00,238.00,320.00,157.00,240.00,245.00,360.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01022940,Live cattle other than purebred or those imported for dairy purposes,2023,number,144049.00,154996.00,194638.00,152596.00,157460.00,143183.00,117194.00,131987.00,167287.00,204270.00,226288.00,174898.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01023900,"Live buffalo, other than purebred breeding animals",2023,number,3396.00,2731.00,3046.00,3614.00,4443.00,3660.00,3088.00,2541.00,3093.00,3658.00,3635.00,3301.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01029000,"Live bovine animals, other than cattle and buffalo",2023,number,0.00,0.00,0.00,34.00,12.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01031000,Live purebred breeding swine,2023,number,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01039100,"Live swine, other than purebred breeding swine, weighing less than 50 kg each",2023,number,421898.00,380453.00,470158.00,372674.00,437066.00,432384.00,414988.00,466354.00,388436.00,428109.00,442299.00,389509.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01039200,"Live swine, other than purebred breeding swine, weighing 50 kg or more",2023,number,137580.00,121435.00,138969.00,122337.00,154037.00,154258.00,154586.00,153399.00,133003.00,153078.00,148998.00,129137.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01041000,Live sheep,2023,number,2613.00,1906.00,3007.00,2493.00,458.00,1008.00,433.00,1291.00,1603.00,1240.00,1693.00,1714.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01051100,Live chickens weighing not over 185 g each,2023,number,70062.00,69742.00,217386.00,218908.00,348348.00,137878.00,273868.00,421061.00,387506.00,168185.00,220950.00,193660.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01051200,Live turkeys weighing not more than over 185 g each,2023,number,497658.00,538929.00,691075.00,611991.00,744302.00,797510.00,700950.00,836949.00,585627.00,635025.00,675762.00,620000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01051300,"Live ducks, weighing not more than 185 g each",2023,number,68080.00,71440.00,81440.00,62900.00,71900.00,62620.00,64680.00,84170.00,58420.00,70760.00,96655.00,48480.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01051400,"Live geese, weighing not more than 185 g each",2023,number,0.00,0.00,0.00,0.00,0.00,7500.00,119577.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01059400,Live Poultry;Chickens,2023,number,44904.00,0.00,8881.00,0.00,0.00,0.00,35231.00,165.00,0.00,120.00,100.00,47421.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01059900,"Live ducks, geese, turkeys and guineas, weighing over 185 g each",2023,number,45740.00,45888.00,55196.00,115152.00,94894.00,102712.00,118015.00,91569.00,171610.00,101739.00,87658.00,67140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01061100,Live primates,2023,number,2469.00,1335.00,828.00,637.00,1293.00,1431.00,459.00,1175.00,2312.00,1444.00,0.00,3505.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01061300,Live camels and other camelids (Camelidae),2023,number,0.00,0.00,0.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01061400,Live rabbits and hares,2023,number,29707.00,31035.00,39743.00,32600.00,29729.00,28195.00,23547.00,13910.00,18739.00,24072.00,15424.00,16634.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01061930,Live foxes,2023,number,0.00,0.00,0.00,0.00,54.00,8.00,0.00,14.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01061991,"Live mammals, not elsewhere specified or included",2023,number,47268.00,54259.00,55735.00,44286.00,45689.00,40451.00,39565.00,28950.00,29578.00,38386.00,32982.00,32567.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01062000,Live reptiles (including snakes and turtles),2023,number,62288.00,74147.00,76517.00,79130.00,88072.00,67947.00,63566.00,68406.00,55986.00,63467.00,52725.00,72845.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01063100,Live birds of prey,2023,number,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01063300,Ostriches; emus,2023,number,0.00,0.00,0.00,0.00,0.00,3960.00,30.00,51.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01063901,"Live birds, other than poultry, birds of prey or psittaciforme birds",2023,number,4902.00,3322.00,9594.00,3467.00,6843.00,5904.00,2531.00,5590.00,2475.00,1596.00,4761.00,851.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01064100,Bees,2023,kilograms,2551.00,3192.00,10467.00,7164.00,7247.00,7797.00,2580.00,4080.00,6072.00,2528.00,2445.00,3168.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01064900,Live insects other than bees,2023,kilograms,24379.00,17678.00,105923.00,47982.00,17365.00,15820.00,18625.00,13507.00,16307.00,14469.00,14093.00,15789.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
