General Imports|Monthly data for 2025,,,,,,,,,,,,,,,,
Data Row Count,10946,,,,,,,,,,,,,,,
Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
General CIF Imports Value,01012100,Live purebred breeding horses,2025,Value for: number,32013797.00,4038835.00,1959192.00,2228004.00,3990022.00,7388115.00,3297920.00,2795999.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01012900,Live horses other than purebred breeding horses,2025,Value for: number,67500434.00,64157948.00,46484177.00,16580358.00,32911770.00,23046497.00,35404801.00,23132148.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01013000,Live asses,2025,Value for: number,11797.00,0.00,4050.00,0.00,15030.00,31471.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01019040,Mules and hinnies not imported for immediate slaughter,2025,Value for: number,0.00,0.00,0.00,0.00,0.00,4702.00,2249.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01022100,Live purebred breeding cattle,2025,Value for: number,3384737.00,2505121.00,2453526.00,1018151.00,622028.00,590759.00,555797.00,284871.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01022920,Cows imported specially for dairy purposes,2025,Value for: number,1470500.00,1784800.00,1723001.00,1521400.00,2020100.00,1418989.00,1207700.00,1387000.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01022940,Live cattle other than purebred or those imported for dairy purposes,2025,Value for: number,173656933.00,221026746.00,353552800.00,200172758.00,117293654.00,117256021.00,126722483.00,116177690.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01023100,Live purebred breeding buffalo,2025,Value for: number,0.00,0.00,40002.00,9780.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01023900,"Live buffalo, other than purebred breeding animals",2025,Value for: number,8395063.00,8686161.00,6204265.00,2554866.00,3882386.00,3455085.00,3625031.00,2421987.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01029000,"Live bovine animals, other than cattle and buffalo",2025,Value for: number,52500.00,0.00,0.00,3743.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01039100,"Live swine, other than purebred breeding swine, weighing less than 50 kg each",2025,Value for: number,28235784.00,25677906.00,21514132.00,17763503.00,21403110.00,20287979.00,25342469.00,18868731.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01039200,"Live swine, other than purebred breeding swine, weighing 50 kg or more",2025,Value for: number,32347115.00,29577723.00,31104053.00,26069100.00,24183923.00,27473687.00,29520774.00,28299737.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01041000,Live sheep,2025,Value for: number,16785.00,8212.00,28176.00,7454.00,2041.00,5513.00,13957.00,60868.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01051100,Live chickens weighing not over 185 g each,2025,Value for: number,1284721.00,1222316.00,437105.00,1440151.00,702244.00,1346804.00,1381717.00,964683.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01051200,Live turkeys weighing not more than over 185 g each,2025,Value for: number,1711902.00,1381266.00,1603668.00,1732987.00,1538879.00,1700920.00,2256015.00,1875491.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01051300,"Live ducks, weighing not more than 185 g each",2025,Value for: number,132115.00,135342.00,158838.00,162819.00,177804.00,223411.00,224262.00,160119.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01051400,"Live geese, weighing not more than 185 g each",2025,Value for: number,10598.00,8942.00,4363.00,0.00,0.00,6806.00,41638.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01059400,Live Poultry;Chickens,2025,Value for: number,0.00,3374.00,3229.00,140627.00,2440.00,7035.00,6040.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01059900,"Live ducks, geese, turkeys and guineas, weighing over 185 g each",2025,Value for: number,442383.00,246229.00,196712.00,1002085.00,453782.00,962022.00,822375.00,791504.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01061100,Live primates,2025,Value for: number,16030207.00,0.00,27845816.00,1905093.00,16481880.00,20066040.00,25723398.00,7350000.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01061201,"Live whales, dolphins and porpoises; manatees and dugongs, seals, sea lions, and walruses",2025,Value for: number,0.00,0.00,0.00,0.00,4181.00,2121.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01061300,Live camels and other camelids (Camelidae),2025,Value for: number,0.00,11000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01061400,Live rabbits and hares,2025,Value for: number,667672.00,464344.00,642353.00,334020.00,423314.00,326717.00,379007.00,516677.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01061930,Live foxes,2025,Value for: number,0.00,0.00,0.00,0.00,0.00,18212.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01061991,"Live mammals, not elsewhere specified or included",2025,Value for: number,6444491.00,5087448.00,5555595.00,4183245.00,2539311.00,3759053.00,3497623.00,4142883.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01062000,Live reptiles (including snakes and turtles),2025,Value for: number,717520.00,860298.00,1412062.00,998469.00,1361466.00,970448.00,910871.00,654953.00,0.00,0.00,0.00,0.00
